JC_XXXX1_OX_meridian,JC_XXXX1_OX_meridian,JC_XXXX2_OX_meridian,JC_XXXX2_OX_meridian,JC_XXXX3_OX_meridian,JC_XXXX3_OX_meridian
131,94562.24729,131,90427.77495,131,92163.39392
132,94142.56026,132,90129.87228,132,91829.78918
133,93313.66679,133,89828.17168,133,91496.74034
134,92630.30478,134,89534.2758,134,91168.94791
135,92080.46129,135,89253.54511,135,90848.24156
136,91540.62644,136,88976.57397,136,90532.93447
137,91005.87095,137,88287.02383,137,90221.79276
138,90498.27663,138,88040.13695,138,89533.18942
139,90009.88016,139,87607.86612,139,89038.40941
140,89558.07425,140,87153.04656,140,88605.37421
141,89111.03203,141,86745.7769,141,88203.21637
142,88691.6192,142,86375.86098,142,87833.76622
143,88286.8995,143,86034.95783,143,87461.00624
144,87905.46414,144,85721.88207,144,87163.13933
145,87541.13291,145,85412.71891,145,86835.54958
146,87213.31815,146,85112.62772,146,86523.52062
147,86898.17442,147,84825.12214,147,86224.46393
148,86600.08898,148,84549.15686,148,85931.13513
149,86322.10728,149,84302.59208,149,85662.10317
150,86054.90065,150,84058.71119,150,85390.77099
151,NaN,151,NaN,151,NaN
152,NaN,152,NaN,152,NaN
153,NaN,153,NaN,153,NaN
154,NaN,154,NaN,154,NaN
155,NaN,155,NaN,155,NaN
156,NaN,156,NaN,156,NaN
157,NaN,157,NaN,157,NaN
158,NaN,158,NaN,158,NaN
159,NaN,159,NaN,159,NaN
160,NaN,160,NaN,160,NaN
161,NaN,161,NaN,161,NaN
162,NaN,162,NaN,162,NaN
163,NaN,163,NaN,163,NaN
164,NaN,164,NaN,164,NaN
165,NaN,165,NaN,165,NaN
166,NaN,166,NaN,166,NaN
167,NaN,167,NaN,167,NaN
168,NaN,168,NaN,168,NaN
169,NaN,169,NaN,169,NaN
170,NaN,170,NaN,170,NaN
171,NaN,171,NaN,171,NaN
172,NaN,172,NaN,172,NaN
173,NaN,173,NaN,173,NaN
174,NaN,174,NaN,174,NaN
175,NaN,175,NaN,175,NaN
176,NaN,176,NaN,176,NaN
177,NaN,177,NaN,177,NaN
178,NaN,178,NaN,178,NaN
179,NaN,179,NaN,179,NaN
180,NaN,180,NaN,180,NaN
181,NaN,181,NaN,181,NaN
182,NaN,182,NaN,182,NaN
183,NaN,183,NaN,183,NaN
184,NaN,184,NaN,184,NaN
185,NaN,185,NaN,185,NaN
186,NaN,186,NaN,186,NaN
187,NaN,187,NaN,187,NaN
188,NaN,188,NaN,188,NaN
189,NaN,189,NaN,189,NaN
190,NaN,190,NaN,190,NaN
191,NaN,191,NaN,191,NaN
192,NaN,192,NaN,192,NaN
193,NaN,193,NaN,193,NaN
194,NaN,194,NaN,194,NaN
195,NaN,195,NaN,195,NaN
196,NaN,196,NaN,196,NaN
197,NaN,197,NaN,197,NaN
198,NaN,198,NaN,198,NaN
199,NaN,199,NaN,199,NaN
200,NaN,200,NaN,200,NaN
201,NaN,201,NaN,201,NaN
202,NaN,202,NaN,202,NaN
203,NaN,203,NaN,203,NaN
204,NaN,204,NaN,204,NaN
205,NaN,205,NaN,205,NaN
206,NaN,206,NaN,206,NaN
207,NaN,207,NaN,207,NaN
208,NaN,208,NaN,208,NaN
209,NaN,209,NaN,209,NaN
210,NaN,210,NaN,210,NaN
211,NaN,211,NaN,211,NaN
212,NaN,212,NaN,212,NaN
213,NaN,213,NaN,213,NaN
214,NaN,214,NaN,214,NaN
215,NaN,215,NaN,215,NaN
216,NaN,216,NaN,216,NaN
217,NaN,217,NaN,217,NaN
218,NaN,218,NaN,218,NaN
219,NaN,219,NaN,219,NaN
220,NaN,220,NaN,220,NaN
221,NaN,221,NaN,221,NaN
